iter	Passed	Remaining
836	19793	3854
837	19816	3830
838	19839	3807
839	19865	3783
840	19890	3760
841	19914	3736
842	19937	3713
843	19960	3689
844	19982	3665
845	20007	3642
846	20032	3618
847	20057	3595
848	20082	3571
849	20106	3548
850	20132	3524
851	20154	3501
852	20179	3477
853	20203	3453
854	20227	3430
855	20249	3406
856	20270	3382
857	20295	3358
858	20320	3335
859	20343	3311
860	20368	3288
861	20394	3264
862	20415	3240
863	20440	3217
864	20465	3193
865	20490	3170
866	20513	3146
867	20536	3122
868	20559	3099
869	20583	3075
870	20607	3052
871	20629	3028
872	20651	3004
873	20676	2980
874	20698	2956
875	20724	2933
876	20746	2909
877	20769	2885
878	20792	2862
879	20816	2838
880	20840	2814
881	20863	2791
882	20886	2767
883	20910	2743
884	20933	2720
885	20956	2696
886	20978	2672
887	21003	2649
888	21027	2625
889	21051	2601
890	21076	2578
891	21101	2554
892	21123	2531
893	21145	2507
894	21167	2483
895	21191	2459
896	21214	2436
897	21239	2412
898	21260	2388
899	21284	2364
900	21308	2341
901	21332	2317
902	21354	2293
903	21379	2270
904	21401	2246
905	21425	2222
906	21449	2199
907	21474	2175
908	21498	2152
909	21521	2128
910	21544	2104
911	21566	2080
912	21590	2057
913	21614	2033
914	21639	2010
915	21663	1986
916	21687	1963
917	21713	1939
918	21737	1915
919	21760	1892
920	21783	1868
921	21807	1844
922	21831	1821
923	21855	1797
924	21879	1774
925	21902	1750
926	21926	1726
927	21951	1703
928	21974	1679
929	21998	1655
930	22023	1632
931	22047	1608
932	22072	1585
933	22095	1561
934	22119	1537
935	22143	1514
936	22166	1490
937	22191	1466
938	22212	1443
939	22236	1419
940	22261	1395
941	22284	1372
942	22308	1348
943	22332	1324
944	22354	1301
945	22379	1277
946	22402	1253
947	22425	1230
948	22449	1206
949	22472	1182
950	22496	1159
951	22518	1135
952	22541	1111
953	22562	1087
954	22584	1064
955	22608	1040
956	22631	1016
957	22653	993
958	22679	969
959	22702	945
960	22727	922
961	22749	898
962	22770	874
963	22793	851
964	22816	827
965	22840	803
966	22864	780
967	22889	756
968	22915	733
969	22938	709
970	22960	685
971	22984	662
972	23008	638
973	23032	614
974	23059	591
975	23082	567
976	23107	543
977	23131	520
978	23155	496
979	23179	473
980	23202	449
981	23227	425
982	23250	402
983	23273	378
984	23298	354
985	23323	331
986	23346	307
987	23371	283
988	23394	260
989	23420	236
990	23445	212
991	23466	189
992	23490	165
993	23515	141
994	23538	118
995	23561	94
996	23584	70
997	23607	47
998	23631	23
999	23654	0
